"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","dif_vector"
"15359","51266",4.1766307859946,5.22217600425373,30.0437593190396,2.31442861063595e-61,4.90334845449333e-57,128.449341286043,1.94840731
"18923","170392",4.28424603209447,5.24777734156716,25.4082563092923,4.58652110564239e-53,4.85850180720699e-49,109.893226179592,-0.1973892
"9982","10332",5.94721693606748,8.9513391730597,24.085813633255,1.64281721708221e-50,1.16015751870346e-46,104.148493626013,1.11966293
"3008","339390",3.76868717126586,4.85473263865672,23.8503300252373,4.7829550537106e-50,2.53329214419782e-46,103.103193548728,0.15660941
"8317","8547",4.81148961302564,7.04448740522388,23.1349902272239,1.27983574540078e-48,5.42292002041217e-45,99.8855669798964,0.0795573199999993
"3125","2220",6.33449643033198,14.0802218404478,22.4842852314047,2.68514677723005e-47,9.4812532703993e-44,96.9027359518994,1.42210748999999
"18322","84870",2.40889149438326,3.98010675873134,22.3221017708464,5.77992412942443e-47,1.74933532294266e-43,96.1509003630505,0.11808894
"2143","64399",6.68542852840216,14.2652867896269,21.7662867658505,8.19747014197836e-46,2.17089503034942e-42,93.548697929863,-2.96718081
"8415","1393",3.84568572277463,4.99945167,21.3137598859843,7.30671611421004e-45,1.72000097328504e-41,91.4006065926251,-13.32335066
"8725","5199",2.62737602505803,5.67485134373134,21.1104396748414,1.96878525568077e-44,4.17106844268528e-41,90.4268119847879,0.159348140000001
"16265","29127",-3.23366789304994,6.91374841097015,-19.917130234073,7.35007269590043e-42,1.41562400123042e-38,84.6026721388582,0.26395486
"10830","2823",5.04702942139541,12.045706205597,18.8088059048547,2.11452678743094e-39,3.73319704320932e-36,79.0264017103895,-14.06466425
"16856","83854",1.99159408239136,5.48352322656716,18.6015110709893,6.20268115983801e-39,1.0108461773256e-35,77.9656791769575,2.19654852
"13451","9547",8.45502078450203,13.8472449937313,18.4364318442217,1.46702871864466e-38,2.22003360237184e-35,77.1169957436794,1.28051924
"13456","9055",-3.3942460845776,6.36525812074627,-18.214047588139,4.70341087996641e-38,6.64309752686456e-35,75.9681514807514,1.83264731
"10767","1893",2.39489163247233,6.86668681858209,18.1218157831246,7.63914295476662e-38,1.01151801649804e-34,75.4898164818523,0.640360100000001
"4323","169355",3.09051648452362,4.65925348791045,17.8810756581326,2.72259073254715e-37,3.39298866233788e-34,74.2361646680549,4.34302618
"16731","84735",4.01275465877733,5.82774190097015,17.8645184734257,2.97205367355117e-37,3.49810717376973e-34,74.1496721944487,0.26399016
"9075","10",4.05313291543589,6.38044350395522,17.8476645916981,3.24958761774842e-37,3.62346122471674e-34,74.0615940873028,0.0563099999999999
"7514","7272",-3.54241377154656,5.55123502925373,-17.7573595907118,5.24600924567685e-37,5.55709759394549e-34,73.5890485097207,-0.0667854400000003
"8281","8685",2.79883019262079,5.69225261059701,17.719136308204,6.42687931626771e-37,6.48380310449751e-34,73.3887239996355,1.61683857
"20343","143941",3.97319644647503,6.51949641171642,17.6575326687216,8.91799133845934e-37,8.58802565893634e-34,73.0654772157911,0.515724130000001
"7039","10403",-3.06923214929015,5.44157028656716,-17.5492535812674,1.58786478493116e-36,1.46263057971964e-33,72.4961570914039,1.4832334
"17913","387103",-2.57559566097436,6.65327856947761,-17.3003128319166,6.01424920652692e-36,5.30907848706164e-33,71.1816870948846,1.7495899
"12629","891",-6.23023595076654,11.0711231284328,-17.279672252587,6.71864930801227e-36,5.69365216958192e-33,71.0723532769274,-1.62617766
"2018","1033",-6.68785004472335,12.1957146952239,-17.1014903356079,1.75161283591179e-35,1.42729498237028e-32,70.1263282002768,-1.71610938
"9561","10584",1.76601629692308,4.32152470776119,16.6877732913465,1.64444139149015e-34,1.29033834518927e-31,67.9147985639273,1.43251012
"8504","9837",-3.42331943463428,6.21531532029851,-16.3814689678339,8.74338762914565e-34,6.61562179682428e-31,66.2642004888962,0.50465037
"6993","6790",-6.49927407076384,16.4634977749254,-16.3051140671776,1.32830822979257e-33,9.70397867461566e-31,65.8510198204708,-0.229900399999998
"6635","9232",-2.53286070973279,7.85011274537313,-16.1961974807062,2.41471779678236e-33,1.7052737080877e-30,65.2604623727871,-0.113536180000001
"1763","22849",4.45738777399191,15.1213172550746,16.0453349699445,5.53801683444141e-33,3.78478789207986e-30,64.4402084596282,1.97760093
"14843","1894",-4.18026627488529,12.3680436284328,-15.9941245621013,7.34467140144315e-33,4.86263150971796e-30,64.1611808955087,0.313701210000001
"6944","11130",-2.96069851382996,7.00325248925373,-15.9493334429309,9.40423214183749e-33,6.03751703505967e-30,63.9168857652147,1.40396684
"5284","9898",-5.56537818754657,28.5777801697015,-15.8621880606472,1.52215637976777e-32,9.48482501816468e-30,63.4409376509129,0.1323854
"322","3925",-3.1685178774143,15.1762084908955,-15.8004027116038,2.14265956378088e-32,1.29698244337891e-29,63.1029785143742,0.67532718
"8980","922",2.75204385908502,6.29605532052239,15.6494157882471,4.94979509604692e-32,2.91295441402361e-29,62.2753136490196,0.1537385
"8766","1592",3.20595738877463,5.81965750425373,15.601954281946,6.44335190998397e-32,3.68942847472758e-29,62.01462608697,0.610166
"6942","5984",-2.36423152890958,7.01738093544776,-15.5342169508653,9.391651278368e-32,5.23609273640801e-29,61.6421464828746,0.38452659
"19496","83875",3.32304930418084,6.09089614171642,15.3971015500965,2.01654107179591e-31,1.09544715761713e-28,60.8866507560341,-0.033405479999999
"5236","7153",-9.32740253008636,16.7664749502239,-15.3342962831015,2.86352216741411e-31,1.51666451597088e-28,60.539928758855,-0.800656009999999
"8326","3977",8.71484928451821,22.8901199367164,15.2802726357822,3.87294246992395e-31,2.0012721748246e-28,60.2413534579377,1.22531335
"13480","51203",-5.64277245406208,13.4583540328358,-15.2106994636984,5.7163425484704e-31,2.88348650552128e-28,59.8563897864761,0.18810257
"13972","64151",-5.47793436088259,11.1820185827612,-15.1941859456457,6.27019226332051e-31,3.08930914629554e-28,59.7649429302551,1.52649236
"7516","9833",-2.71749419962483,6.61813031843284,-15.1773147116535,6.89169161542083e-31,3.31834951282513e-28,59.6714859996515,1.27572052
"7224","3931",3.07756624276652,10.5869764602239,15.1429602360679,8.35493770366342e-31,3.93350467088474e-28,59.4810911716069,-0.967809760000002
"9862","1063",-4.20037413066937,11.3583951096269,-15.0754511706697,1.22013296490052e-30,5.61950804225705e-28,59.1065985607904,-0.000453179999999165
"9364","3161",-5.57186004266397,11.344334573209,-15.0594299661706,1.33495489872636e-30,6.01752223072696e-28,59.0176559667262,-0.11391532
"7387","4751",-3.80810019709312,9.81111506932836,-15.0553433113673,1.36593980638232e-30,6.02891682041997e-28,58.9949645049044,0.584243560000001
"13727","51053",-2.50773236518488,8.78247731141791,-15.0415244641269,1.47615851512785e-30,6.3824274084691e-28,58.9182217570273,0.16995487
"5584","6241",-6.84424756154656,14.5292311430597,-14.9978425932722,1.88676721254812e-30,7.99461003300891e-28,58.6755082111255,0.262652829999997
"3258","9133",-3.53371827713631,17.1582367094776,-14.8769733338107,3.72448753990266e-30,1.54719594157603e-27,58.0029150961375,0.328619689999996
"619","84873",2.22470574790553,4.24218570201493,14.8098885709735,5.4356986996848e-30,2.20945063794108e-27,57.6289890978887,1.09710435
"106","11318",2.22957226814575,9.0887001219403,14.8069257266272,5.52727668322843e-30,2.20945063794108e-27,57.6124642384767,2.09022197
"9703","1544",9.23157495019701,15.1779102149254,14.7685650475912,6.86257327791136e-30,2.69241624936722e-27,57.3984356448698,0.15319432
"11530","148",4.14134850512551,15.2114016526119,14.6500775904454,1.34010167152701e-29,5.16207163872203e-27,56.7364535911154,0.84155263
"13910","51514",-5.70530151391093,12.1528170067164,-14.5572361841917,2.26607743699656e-29,8.57305653218021e-27,56.2168223601647,0.0153113500000002
"14296","10894",4.28817308133603,8.73853577231343,14.5318472939238,2.61650776015691e-29,9.69579984026952e-27,56.0745808035004,0.16923448
"14846","79804",2.20891771481512,6.50062609798507,14.5290716728758,2.65797304894676e-29,9.69579984026952e-27,56.0590267227003,2.82833242
"13730","24137",-2.81999036802429,5.64776638962687,-14.5262931000921,2.70014250248231e-29,9.69579984026952e-27,56.0434553854945,0.439359320000001
"7900","6491",-2.08793944749528,5.68484483126866,-14.4904430770632,3.3083816019051e-29,1.16818954363269e-26,55.8424850561096,2.37501303
"6766","701",-2.72651441719298,6.23324752238806,-14.4747870974982,3.61544403200266e-29,1.25568520101653e-26,55.7546826286088,0.163118289999999
"8585","1071",2.53369790055331,5.28313944664179,14.457125552534,3.99629006520822e-29,1.36557098905647e-26,55.6556055356955,0.15826244
